scenario,value,policy,n_seed,p_c6_viol_mean,p_c6_viol_std,p_c6_exceed_ratio_mean,p_c6_exceed_ratio_std,p_c7_viol_mean,p_c7_viol_std,p_c8_viol_mean,p_c8_viol_std
f_scale,0.4,C6-Only,2,0.029555555555555557,0.018444444444444447,0.06666666666666667,0.0,0.0,0.0,0.0,0.0
f_scale,0.4,Full,2,0.029555555555555557,0.018444444444444447,0.06666666666666667,0.0,0.0,0.0,0.0,0.0
f_scale,0.4,IQL,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f_scale,0.4,Lyapunov-Greedy,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f_scale,0.4,No-EVT,2,0.029555555555555557,0.018444444444444447,0.06666666666666667,0.0,0.0,0.0,0.0,0.0
f_scale,0.4,Non-MEC,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f_scale,0.4,Random,2,0.5266666666666666,0.000444444444444525,0.6,0.0,0.5,0.033333333333333326,0.2,0.0
f_scale,0.4,Stand-alone MEC,2,0.6602222222222222,0.00022222222222223476,0.8,0.0,0.6,0.0,0.6,0.0
f_scale,0.6,C6-Only,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f_scale,0.6,Full,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f_scale,0.6,IQL,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f_scale,0.6,Lyapunov-Greedy,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f_scale,0.6,No-EVT,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f_scale,0.6,Non-MEC,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f_scale,0.6,Random,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f_scale,0.6,Stand-alone MEC,2,0.2,0.0,0.2,0.0,0.2,0.0,0.0,0.0
f_scale,0.8,C6-Only,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f_scale,0.8,Full,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f_scale,0.8,IQL,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f_scale,0.8,Lyapunov-Greedy,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f_scale,0.8,No-EVT,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f_scale,0.8,Non-MEC,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f_scale,0.8,Random,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f_scale,0.8,Stand-alone MEC,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f_scale,1.0,C6-Only,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f_scale,1.0,Full,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f_scale,1.0,IQL,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f_scale,1.0,Lyapunov-Greedy,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f_scale,1.0,No-EVT,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f_scale,1.0,Non-MEC,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f_scale,1.0,Random,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f_scale,1.0,Stand-alone MEC,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f_scale,1.2,C6-Only,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f_scale,1.2,Full,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f_scale,1.2,IQL,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f_scale,1.2,Lyapunov-Greedy,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f_scale,1.2,No-EVT,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f_scale,1.2,Non-MEC,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f_scale,1.2,Random,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f_scale,1.2,Stand-alone MEC,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f_scale,1.4,C6-Only,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f_scale,1.4,Full,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f_scale,1.4,IQL,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f_scale,1.4,Lyapunov-Greedy,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f_scale,1.4,No-EVT,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f_scale,1.4,Non-MEC,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f_scale,1.4,Random,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f_scale,1.4,Stand-alone MEC,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
user_num,5.0,C6-Only,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
user_num,5.0,Full,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
user_num,5.0,IQL,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
user_num,5.0,Lyapunov-Greedy,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
user_num,5.0,No-EVT,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
user_num,5.0,Non-MEC,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
user_num,5.0,Random,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
user_num,5.0,Stand-alone MEC,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
user_num,10.0,C6-Only,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
user_num,10.0,Full,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
user_num,10.0,IQL,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
user_num,10.0,Lyapunov-Greedy,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
user_num,10.0,No-EVT,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
user_num,10.0,Non-MEC,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
user_num,10.0,Random,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
user_num,10.0,Stand-alone MEC,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
user_num,15.0,C6-Only,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
user_num,15.0,Full,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
user_num,15.0,IQL,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
user_num,15.0,Lyapunov-Greedy,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
user_num,15.0,No-EVT,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
user_num,15.0,Non-MEC,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
user_num,15.0,Random,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
user_num,15.0,Stand-alone MEC,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
user_num,20.0,C6-Only,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
user_num,20.0,Full,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
user_num,20.0,IQL,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
user_num,20.0,Lyapunov-Greedy,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
user_num,20.0,No-EVT,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
user_num,20.0,Non-MEC,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
user_num,20.0,Random,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
user_num,20.0,Stand-alone MEC,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
user_num,25.0,C6-Only,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
user_num,25.0,Full,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
user_num,25.0,IQL,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
user_num,25.0,Lyapunov-Greedy,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
