scenario,value,policy,n_seed,p_c6_viol_mean,p_c6_viol_std,p_c7_viol_mean,p_c7_viol_std,p_c8_viol_mean,p_c8_viol_std
f_scale,0.4,Full,5,0.0,0.0,0.0,0.0,0.0,0.0
f_scale,0.4,IQL,5,0.0,0.0,0.0,0.0,0.0,0.0
f_scale,0.4,Lyapunov-Greedy,5,0.0,0.0,0.0,0.0,0.0,0.0
f_scale,0.4,No-EVT,5,0.0,0.0,0.0,0.0,0.0,0.0
f_scale,0.4,Non-MEC,5,0.0,0.0,0.0,0.0,0.0,0.0
f_scale,0.4,Random,5,0.0,0.0,0.0,0.0,0.0,0.0
f_scale,0.4,Stand-alone MEC,5,0.0,0.0,0.0,0.0,0.0,0.0
f_scale,0.6,Full,5,0.0,0.0,0.0,0.0,0.0,0.0
f_scale,0.6,IQL,5,0.0,0.0,0.0,0.0,0.0,0.0
f_scale,0.6,Lyapunov-Greedy,5,0.0,0.0,0.0,0.0,0.0,0.0
f_scale,0.6,No-EVT,5,0.0,0.0,0.0,0.0,0.0,0.0
f_scale,0.6,Non-MEC,5,0.0,0.0,0.0,0.0,0.0,0.0
f_scale,0.6,Random,5,0.0,0.0,0.0,0.0,0.0,0.0
f_scale,0.6,Stand-alone MEC,5,0.0,0.0,0.0,0.0,0.0,0.0
f_scale,0.8,Full,5,0.0,0.0,0.0,0.0,0.0,0.0
f_scale,0.8,IQL,5,0.0,0.0,0.0,0.0,0.0,0.0
f_scale,0.8,Lyapunov-Greedy,5,0.0,0.0,0.0,0.0,0.0,0.0
f_scale,0.8,No-EVT,5,0.0,0.0,0.0,0.0,0.0,0.0
f_scale,0.8,Non-MEC,5,0.0,0.0,0.0,0.0,0.0,0.0
f_scale,0.8,Random,5,0.0,0.0,0.0,0.0,0.0,0.0
f_scale,0.8,Stand-alone MEC,5,0.0,0.0,0.0,0.0,0.0,0.0
f_scale,1.0,Full,5,0.0,0.0,0.0,0.0,0.0,0.0
f_scale,1.0,IQL,5,0.0,0.0,0.0,0.0,0.0,0.0
f_scale,1.0,Lyapunov-Greedy,5,0.0,0.0,0.0,0.0,0.0,0.0
f_scale,1.0,No-EVT,5,0.0,0.0,0.0,0.0,0.0,0.0
f_scale,1.0,Non-MEC,5,0.0,0.0,0.0,0.0,0.0,0.0
f_scale,1.0,Random,5,0.0,0.0,0.0,0.0,0.0,0.0
f_scale,1.0,Stand-alone MEC,5,0.0,0.0,0.0,0.0,0.0,0.0
f_scale,1.2,Full,5,0.0,0.0,0.0,0.0,0.0,0.0
f_scale,1.2,IQL,5,0.0,0.0,0.0,0.0,0.0,0.0
f_scale,1.2,Lyapunov-Greedy,5,0.0,0.0,0.0,0.0,0.0,0.0
f_scale,1.2,No-EVT,5,0.0,0.0,0.0,0.0,0.0,0.0
f_scale,1.2,Non-MEC,5,0.0,0.0,0.0,0.0,0.0,0.0
f_scale,1.2,Random,5,0.0,0.0,0.0,0.0,0.0,0.0
f_scale,1.2,Stand-alone MEC,5,0.0,0.0,0.0,0.0,0.0,0.0
f_scale,1.4,Full,5,0.0,0.0,0.0,0.0,0.0,0.0
f_scale,1.4,IQL,5,0.0,0.0,0.0,0.0,0.0,0.0
f_scale,1.4,Lyapunov-Greedy,5,0.0,0.0,0.0,0.0,0.0,0.0
f_scale,1.4,No-EVT,5,0.0,0.0,0.0,0.0,0.0,0.0
f_scale,1.4,Non-MEC,5,0.0,0.0,0.0,0.0,0.0,0.0
f_scale,1.4,Random,5,0.0,0.0,0.0,0.0,0.0,0.0
f_scale,1.4,Stand-alone MEC,5,0.0,0.0,0.0,0.0,0.0,0.0
user_num,5.0,Full,5,0.0,0.0,0.0,0.0,0.0,0.0
user_num,5.0,IQL,5,0.0,0.0,0.0,0.0,0.0,0.0
user_num,5.0,Lyapunov-Greedy,5,0.0,0.0,0.0,0.0,0.0,0.0
user_num,5.0,No-EVT,5,0.0,0.0,0.0,0.0,0.0,0.0
user_num,5.0,Non-MEC,5,0.0,0.0,0.0,0.0,0.0,0.0
user_num,5.0,Random,5,0.0,0.0,0.0,0.0,0.0,0.0
user_num,5.0,Stand-alone MEC,5,0.0,0.0,0.0,0.0,0.0,0.0
user_num,10.0,Full,5,0.0,0.0,0.0,0.0,0.0,0.0
user_num,10.0,IQL,5,0.0,0.0,0.0,0.0,0.0,0.0
user_num,10.0,Lyapunov-Greedy,5,0.0,0.0,0.0,0.0,0.0,0.0
user_num,10.0,No-EVT,5,0.0,0.0,0.0,0.0,0.0,0.0
user_num,10.0,Non-MEC,5,0.0,0.0,0.0,0.0,0.0,0.0
user_num,10.0,Random,5,0.0,0.0,0.0,0.0,0.0,0.0
user_num,10.0,Stand-alone MEC,5,0.0,0.0,0.0,0.0,0.0,0.0
user_num,15.0,Full,5,0.0,0.0,0.0,0.0,0.0,0.0
user_num,15.0,IQL,5,0.0,0.0,0.0,0.0,0.0,0.0
user_num,15.0,Lyapunov-Greedy,5,0.0,0.0,0.0,0.0,0.0,0.0
user_num,15.0,No-EVT,5,0.0,0.0,0.0,0.0,0.0,0.0
user_num,15.0,Non-MEC,5,0.0,0.0,0.0,0.0,0.0,0.0
user_num,15.0,Random,5,0.0,0.0,0.0,0.0,0.0,0.0
user_num,15.0,Stand-alone MEC,5,0.0,0.0,0.0,0.0,0.0,0.0
user_num,20.0,Full,5,0.0,0.0,0.0,0.0,0.0,0.0
user_num,20.0,IQL,5,0.0,0.0,0.0,0.0,0.0,0.0
user_num,20.0,Lyapunov-Greedy,5,0.0,0.0,0.0,0.0,0.0,0.0
user_num,20.0,No-EVT,5,0.0,0.0,0.0,0.0,0.0,0.0
user_num,20.0,Non-MEC,5,0.0,0.0,0.0,0.0,0.0,0.0
user_num,20.0,Random,5,0.0,0.0,0.0,0.0,0.0,0.0
user_num,20.0,Stand-alone MEC,5,0.0,0.0,0.0,0.0,0.0,0.0
user_num,25.0,Full,5,0.0,0.0,0.0,0.0,0.0,0.0
user_num,25.0,IQL,5,0.0,0.0,0.0,0.0,0.0,0.0
user_num,25.0,Lyapunov-Greedy,5,0.0,0.0,0.0,0.0,0.0,0.0
user_num,25.0,No-EVT,5,0.0,0.0,0.0,0.0,0.0,0.0
user_num,25.0,Non-MEC,5,0.0,0.0,0.0,0.0,0.0,0.0
user_num,25.0,Random,5,0.0,0.0,0.0,0.0,0.0,0.0
user_num,25.0,Stand-alone MEC,5,0.0,0.0,0.0,0.0,0.0,0.0
user_num,30.0,Full,5,0.0,0.0,0.0,0.0,0.0,0.0
user_num,30.0,IQL,5,0.0,0.0,0.0,0.0,0.0,0.0
user_num,30.0,Lyapunov-Greedy,5,0.0,0.0,0.0,0.0,0.0,0.0
user_num,30.0,No-EVT,5,0.0,0.0,0.0,0.0,0.0,0.0
user_num,30.0,Non-MEC,5,0.0,0.0,0.0,0.0,0.0,0.0
