experiment,scenario,value,policy,seed,user_num,load_scale,bw_scale,f_scale,tmax_scale,episodes,warmup_ratio,p_c5_viol,p_c6_viol,p_c6_exceed_ratio,p_c7_viol,p_c8_viol,mean_c5_excess_ratio,mean_overflow_prob,mean_m1_excess_cond,mean_m2_excess_cond,mean_offload_ratio,total_energy,avg_energy_per_slot_user,action_0_ratio,action_1_ratio,action_2_ratio,action_3_ratio,action_4_ratio,action_5_ratio,action_6_ratio,action_7_ratio
stress_scan,load_scale,0.5,Full,7,15,0.5,1.0,1.0,1.0,1000,0.7,0.9602222222222222,0.0,0.0,0.0,0.0,263.08085372740743,0.0,0.0,0.0,0.05622222222222213,1242306.4637598246,276.0681030577388,0.0,0.0,0.0,0.9437777777777778,0.008,0.008888888888888889,0.013111111111111112,0.026222222222222223
stress_scan,load_scale,0.5,Full,16,15,0.5,1.0,1.0,1.0,1000,0.7,0.9608888888888888,0.0,0.0,0.0,0.0,258.3922183622222,0.0,0.0,0.0,0.05177777777777769,1874448.9949533115,416.5442211007359,0.0,0.0,0.0,0.9482222222222222,0.011111111111111112,0.007555555555555556,0.010222222222222223,0.02288888888888889
stress_scan,load_scale,0.5,Full,24,15,0.5,1.0,1.0,1.0,1000,0.7,0.9593333333333333,0.0,0.0,0.0,0.0,257.9082095688888,0.0,0.0,0.0,0.052444444444444356,977932.2121838782,217.31826937419515,0.0,0.0,0.0,0.9475555555555556,0.010444444444444444,0.010222222222222223,0.009777777777777778,0.022
stress_scan,load_scale,0.5,IQL,7,15,0.5,1.0,1.0,1.0,1000,0.7,0.9586666666666667,0.0,0.0,0.0,0.0,262.659794905926,0.0,0.0,0.0,0.056888888888888794,1111121.8819621562,246.91597376936804,0.0,0.0,0.0,0.9431111111111111,0.01,0.009777777777777778,0.012888888888888889,0.02422222222222222
stress_scan,load_scale,0.5,IQL,16,15,0.5,1.0,1.0,1.0,1000,0.7,0.9626666666666666,0.0,0.0,0.0,0.0,258.9667467844444,0.0,0.0,0.0,0.05088888888888882,1244566.8314601833,276.57040699115186,0.0,0.0,0.0,0.9491111111111111,0.011111111111111112,0.008222222222222223,0.009555555555555555,0.022
stress_scan,load_scale,0.5,IQL,24,15,0.5,1.0,1.0,1.0,1000,0.7,0.9602222222222223,0.0,0.0,0.0,0.0,256.29015900222214,0.0,0.0,0.0,0.052222222222222135,1570464.8573328378,348.9921905184084,0.0,0.0,0.0,0.9477777777777778,0.01,0.008666666666666666,0.010888888888888889,0.02266666666666667
stress_scan,load_scale,0.5,No-EVT,7,15,0.5,1.0,1.0,1.0,1000,0.7,0.9602222222222222,0.0,0.0,0.0,0.0,263.08085372740743,0.0,0.0,0.0,0.05622222222222213,1242306.4637598246,276.0681030577388,0.0,0.0,0.0,0.9437777777777778,0.008,0.008888888888888889,0.013111111111111112,0.026222222222222223
stress_scan,load_scale,0.5,No-EVT,16,15,0.5,1.0,1.0,1.0,1000,0.7,0.9608888888888888,0.0,0.0,0.0,0.0,258.3922183622222,0.0,0.0,0.0,0.05177777777777769,1874448.9949533115,416.5442211007359,0.0,0.0,0.0,0.9482222222222222,0.011111111111111112,0.007555555555555556,0.010222222222222223,0.02288888888888889
stress_scan,load_scale,0.5,No-EVT,24,15,0.5,1.0,1.0,1.0,1000,0.7,0.9593333333333333,0.0,0.0,0.0,0.0,257.9082095688888,0.0,0.0,0.0,0.052444444444444356,977932.2121838782,217.31826937419515,0.0,0.0,0.0,0.9475555555555556,0.010444444444444444,0.010222222222222223,0.009777777777777778,0.022
stress_scan,load_scale,0.5,C6-Only,7,15,0.5,1.0,1.0,1.0,1000,0.7,0.9602222222222222,0.0,0.0,0.0,0.0,263.08085372740743,0.0,0.0,0.0,0.05622222222222213,1242306.4637598246,276.0681030577388,0.0,0.0,0.0,0.9437777777777778,0.008,0.008888888888888889,0.013111111111111112,0.026222222222222223
stress_scan,load_scale,0.5,C6-Only,16,15,0.5,1.0,1.0,1.0,1000,0.7,0.9608888888888888,0.0,0.0,0.0,0.0,258.3922183622222,0.0,0.0,0.0,0.05177777777777769,1874448.9949533115,416.5442211007359,0.0,0.0,0.0,0.9482222222222222,0.011111111111111112,0.007555555555555556,0.010222222222222223,0.02288888888888889
stress_scan,load_scale,0.5,C6-Only,24,15,0.5,1.0,1.0,1.0,1000,0.7,0.9593333333333333,0.0,0.0,0.0,0.0,257.9082095688888,0.0,0.0,0.0,0.052444444444444356,977932.2121838782,217.31826937419515,0.0,0.0,0.0,0.9475555555555556,0.010444444444444444,0.010222222222222223,0.009777777777777778,0.022
stress_scan,load_scale,0.5,Lyapunov-Greedy,7,15,0.5,1.0,1.0,1.0,1000,0.7,1.0,0.0,0.0,0.0,0.0,259.04244792814814,0.0,0.0,0.0,0.0,1.2150000000000054,0.0002700000000000012,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
stress_scan,load_scale,0.5,Lyapunov-Greedy,16,15,0.5,1.0,1.0,1.0,1000,0.7,1.0,0.0,0.0,0.0,0.0,259.44792557481486,0.0,0.0,0.0,0.0,1.2150000000000054,0.0002700000000000012,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
stress_scan,load_scale,0.5,Lyapunov-Greedy,24,15,0.5,1.0,1.0,1.0,1000,0.7,1.0,0.0,0.0,0.0,0.0,259.34904673925917,0.0,0.0,0.0,0.0,1.2150000000000054,0.0002700000000000012,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
stress_scan,load_scale,0.5,Non-MEC,7,15,0.5,1.0,1.0,1.0,1000,0.7,1.0,0.0,0.0,0.0,0.0,259.04244792814814,0.0,0.0,0.0,0.0,1.2150000000000054,0.0002700000000000012,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
stress_scan,load_scale,0.5,Non-MEC,16,15,0.5,1.0,1.0,1.0,1000,0.7,1.0,0.0,0.0,0.0,0.0,259.44792557481486,0.0,0.0,0.0,0.0,1.2150000000000054,0.0002700000000000012,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
stress_scan,load_scale,0.5,Non-MEC,24,15,0.5,1.0,1.0,1.0,1000,0.7,1.0,0.0,0.0,0.0,0.0,259.34904673925917,0.0,0.0,0.0,0.0,1.2150000000000054,0.0002700000000000012,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
stress_scan,load_scale,0.5,Stand-alone MEC,7,15,0.5,1.0,1.0,1.0,1000,0.7,0.5,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,1.0,3002098.301797608,667.1329559550239,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5
stress_scan,load_scale,0.5,Stand-alone MEC,16,15,0.5,1.0,1.0,1.0,1000,0.7,0.5,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,1.0,3009769.7432188382,668.8377207152973,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5
stress_scan,load_scale,0.5,Stand-alone MEC,24,15,0.5,1.0,1.0,1.0,1000,0.7,0.5,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,1.0,2999000.332254146,666.4445182786992,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5
stress_scan,load_scale,0.5,Random,7,15,0.5,1.0,1.0,1.0,1000,0.7,0.752,0.0,0.0,0.0,0.0,625.499590965185,0.0,0.0,0.0,0.4968888888888893,6327818.828004533,1406.1819617787853,0.12244444444444444,0.12466666666666666,0.12777777777777777,0.1282222222222222,0.12044444444444445,0.12266666666666666,0.12733333333333333,0.12644444444444444
stress_scan,load_scale,0.5,Random,16,15,0.5,1.0,1.0,1.0,1000,0.7,0.7511111111111111,0.0,0.0,0.0,0.0,635.0465919881481,0.0,0.0,0.0,0.4975555555555554,6494827.021463103,1443.2948936584673,0.12533333333333332,0.12222222222222222,0.124,0.1308888888888889,0.11644444444444445,0.126,0.126,0.12911111111111112
stress_scan,load_scale,0.5,Random,24,15,0.5,1.0,1.0,1.0,1000,0.7,0.7537777777777778,0.0,0.0,0.0,0.0,609.0725223448148,0.0,0.0,0.0,0.492666666666667,6185950.675407361,1374.6557056460804,0.12377777777777778,0.13177777777777777,0.11977777777777777,0.132,0.134,0.12711111111111112,0.10377777777777777,0.12777777777777777
stress_scan,load_scale,1.0,Full,7,15,1.0,1.0,1.0,1.0,1000,0.7,0.9557777777777776,0.0,0.0,0.0,0.0,504.3782702325926,0.0,0.0,0.0,0.05555555555555546,2085265.1940107974,463.39226533573276,0.0,0.0,0.0,0.9444444444444444,0.010222222222222223,0.010666666666666666,0.013111111111111112,0.021555555555555557
stress_scan,load_scale,1.0,Full,16,15,1.0,1.0,1.0,1.0,1000,0.7,0.9606666666666667,0.0,0.0,0.0,0.0,504.7394565125926,0.0,0.0,0.0,0.05022222222222216,1860191.9531721682,413.3759895938152,0.0,0.0,0.0,0.9497777777777778,0.010888888888888889,0.008222222222222223,0.011333333333333334,0.019777777777777776
stress_scan,load_scale,1.0,Full,24,15,1.0,1.0,1.0,1.0,1000,0.7,0.9577777777777778,0.0,0.0,0.0,0.0,502.8153060192591,0.0,0.0,0.0,0.053111111111111026,1656298.766697188,368.0663925993751,0.0,0.0,0.0,0.9468888888888889,0.01,0.010444444444444444,0.011333333333333334,0.021333333333333333
stress_scan,load_scale,1.0,IQL,7,15,1.0,1.0,1.0,1.0,1000,0.7,0.9544444444444445,0.0,0.0,0.0,0.0,506.560403125926,0.0,0.0,0.0,0.05599999999999991,2348087.1346017476,521.7971410226106,0.0,0.0,0.0,0.944,0.010888888888888889,0.010444444444444444,0.014444444444444444,0.02022222222222222
stress_scan,load_scale,1.0,IQL,16,15,1.0,1.0,1.0,1.0,1000,0.7,0.9600000000000002,0.0,0.0,0.0,0.0,501.73424674370375,0.0,0.0,0.0,0.05088888888888882,2366014.7193800723,525.7810487511272,0.0,0.0,0.0,0.9491111111111111,0.009777777777777778,0.010222222222222223,0.010888888888888889,0.02
stress_scan,load_scale,1.0,IQL,24,15,1.0,1.0,1.0,1.0,1000,0.7,0.9577777777777778,0.0,0.0,0.0,0.0,502.521725139259,0.0,0.0,0.0,0.05244444444444436,1875509.1969795655,416.77982155101455,0.0,0.0,0.0,0.9475555555555556,0.01,0.011555555555555555,0.010222222222222223,0.020666666666666667
stress_scan,load_scale,1.0,No-EVT,7,15,1.0,1.0,1.0,1.0,1000,0.7,0.9557777777777776,0.0,0.0,0.0,0.0,504.3782702325926,0.0,0.0,0.0,0.05555555555555546,2085265.1940107974,463.39226533573276,0.0,0.0,0.0,0.9444444444444444,0.010222222222222223,0.010666666666666666,0.013111111111111112,0.021555555555555557
stress_scan,load_scale,1.0,No-EVT,16,15,1.0,1.0,1.0,1.0,1000,0.7,0.9606666666666667,0.0,0.0,0.0,0.0,504.7394565125926,0.0,0.0,0.0,0.05022222222222216,1860191.9531721682,413.3759895938152,0.0,0.0,0.0,0.9497777777777778,0.010888888888888889,0.008222222222222223,0.011333333333333334,0.019777777777777776
stress_scan,load_scale,1.0,No-EVT,24,15,1.0,1.0,1.0,1.0,1000,0.7,0.9577777777777778,0.0,0.0,0.0,0.0,502.8153060192591,0.0,0.0,0.0,0.053111111111111026,1656298.766697188,368.0663925993751,0.0,0.0,0.0,0.9468888888888889,0.01,0.010444444444444444,0.011333333333333334,0.021333333333333333
stress_scan,load_scale,1.0,C6-Only,7,15,1.0,1.0,1.0,1.0,1000,0.7,0.9557777777777776,0.0,0.0,0.0,0.0,504.3782702325926,0.0,0.0,0.0,0.05555555555555546,2085265.1940107974,463.39226533573276,0.0,0.0,0.0,0.9444444444444444,0.010222222222222223,0.010666666666666666,0.013111111111111112,0.021555555555555557
stress_scan,load_scale,1.0,C6-Only,16,15,1.0,1.0,1.0,1.0,1000,0.7,0.9606666666666667,0.0,0.0,0.0,0.0,504.7394565125926,0.0,0.0,0.0,0.05022222222222216,1860191.9531721682,413.3759895938152,0.0,0.0,0.0,0.9497777777777778,0.010888888888888889,0.008222222222222223,0.011333333333333334,0.019777777777777776
stress_scan,load_scale,1.0,C6-Only,24,15,1.0,1.0,1.0,1.0,1000,0.7,0.9577777777777778,0.0,0.0,0.0,0.0,502.8153060192591,0.0,0.0,0.0,0.053111111111111026,1656298.766697188,368.0663925993751,0.0,0.0,0.0,0.9468888888888889,0.01,0.010444444444444444,0.011333333333333334,0.021333333333333333
