experiment,scenario,value,policy,seed,user_num,load_scale,bw_scale,f_scale,tmax_scale,episodes,warmup_ratio,p_c5_viol,p_c6_viol,p_c6_exceed_ratio,p_c7_viol,p_c8_viol,mean_c5_excess_ratio,mean_overflow_prob,mean_m1_excess_cond,mean_m2_excess_cond,mean_offload_ratio,total_energy,avg_energy_per_slot_user,action_0_ratio,action_1_ratio,action_2_ratio,action_3_ratio,action_4_ratio,action_5_ratio,action_6_ratio,action_7_ratio
stress_scan,load_scale,0.5,Full,7,15,0.5,1.0,1.0,1.0,2000,0.7,0.9604444444444445,0.0,0.0,0.0,0.0,258.8022054433334,0.0,0.0,0.0,0.051999999999999866,2215058.944617139,246.11766051301547,0.0,0.0,0.0,0.948,0.009222222222222222,0.010555555555555556,0.009888888888888888,0.022333333333333334
stress_scan,load_scale,0.5,Full,16,15,0.5,1.0,1.0,1.0,2000,0.7,0.963888888888889,0.0,0.0,0.0,0.0,257.46188472592587,0.0,0.0,0.0,0.04799999999999988,2798869.331819654,310.9854813132949,0.0,0.0,0.0,0.952,0.009888888888888888,0.008444444444444444,0.00811111111111111,0.021555555555555557
stress_scan,load_scale,0.5,Full,24,15,0.5,1.0,1.0,1.0,2000,0.7,0.9630000000000002,0.0,0.0,0.0,0.0,260.0035293099999,0.0,0.0,0.0,0.04988888888888877,2593971.697901725,288.2190775446361,0.0,0.0,0.0,0.9501111111111111,0.009222222222222222,0.01011111111111111,0.009,0.021555555555555557
stress_scan,load_scale,0.5,IQL,7,15,0.5,1.0,1.0,1.0,2000,0.7,0.9606666666666666,0.0,0.0,0.0,0.0,258.8597934144444,0.0,0.0,0.0,0.051888888888888755,2364897.569603021,262.76639662255786,0.0,0.0,0.0,0.9481111111111111,0.009222222222222222,0.010666666666666666,0.009777777777777778,0.022222222222222223
stress_scan,load_scale,0.5,IQL,16,15,0.5,1.0,1.0,1.0,2000,0.7,0.9637777777777778,0.0,0.0,0.0,0.0,259.40657883481475,0.0,0.0,0.0,0.04788888888888877,2018532.8883174227,224.28143203526918,0.0,0.0,0.0,0.9521111111111111,0.009333333333333334,0.009111111111111111,0.008444444444444444,0.021
stress_scan,load_scale,0.5,IQL,24,15,0.5,1.0,1.0,1.0,2000,0.7,0.9623333333333335,0.0,0.0,0.0,0.0,258.298795664074,0.0,0.0,0.0,0.049333333333333215,2054028.6832541323,228.22540925045914,0.0,0.0,0.0,0.9506666666666667,0.01,0.009,0.01011111111111111,0.02022222222222222
stress_scan,load_scale,0.5,No-EVT,7,15,0.5,1.0,1.0,1.0,2000,0.7,0.9604444444444445,0.0,0.0,0.0,0.0,258.8022054433334,0.0,0.0,0.0,0.051999999999999866,2215058.944617139,246.11766051301547,0.0,0.0,0.0,0.948,0.009222222222222222,0.010555555555555556,0.009888888888888888,0.022333333333333334
stress_scan,load_scale,0.5,No-EVT,16,15,0.5,1.0,1.0,1.0,2000,0.7,0.963888888888889,0.0,0.0,0.0,0.0,257.46188472592587,0.0,0.0,0.0,0.04799999999999988,2798869.331819654,310.9854813132949,0.0,0.0,0.0,0.952,0.009888888888888888,0.008444444444444444,0.00811111111111111,0.021555555555555557
stress_scan,load_scale,0.5,No-EVT,24,15,0.5,1.0,1.0,1.0,2000,0.7,0.9630000000000002,0.0,0.0,0.0,0.0,260.0035293099999,0.0,0.0,0.0,0.04988888888888877,2593971.697901725,288.2190775446361,0.0,0.0,0.0,0.9501111111111111,0.009222222222222222,0.01011111111111111,0.009,0.021555555555555557
stress_scan,load_scale,0.5,C6-Only,7,15,0.5,1.0,1.0,1.0,2000,0.7,0.9604444444444445,0.0,0.0,0.0,0.0,258.8022054433334,0.0,0.0,0.0,0.051999999999999866,2215058.944617139,246.11766051301547,0.0,0.0,0.0,0.948,0.009222222222222222,0.010555555555555556,0.009888888888888888,0.022333333333333334
