experiment,weight,policy,seed,user_num,load_scale,bw_scale,f_scale,tmax_scale,episodes,warmup_ratio,lyap_constraint_weight,p_c5_viol,p_c6_viol,p_c6_exceed_ratio,p_c7_viol,p_c8_viol,mean_c5_excess_ratio,mean_overflow_prob,mean_m1_excess_cond,mean_m2_excess_cond,mean_offload_ratio,total_energy,avg_energy_per_slot_user,action_0_ratio,action_1_ratio,action_2_ratio,action_3_ratio,action_4_ratio,action_5_ratio,action_6_ratio,action_7_ratio
weight_sweep,1.0,Full,7,15,1.0,1.0,1.0,1.0,2000,0.7,1.0,0.9585555555555557,0.1716666666666667,0.2,0.0,0.0,503.2101060496297,0.1716666666666667,914942.0464073287,5607720282857.084,0.051888888888888755,3835124.0147633986,426.1248905292665,0.0,0.0,0.0,0.9481111111111111,0.008555555555555556,0.011888888888888888,0.010666666666666666,0.020777777777777777
weight_sweep,1.0,Full,16,15,1.0,1.0,1.0,1.0,2000,0.7,1.0,0.9614444444444445,0.11111111111111112,0.2,0.06666666666666667,0.0,504.17444552888884,0.11111111111111112,742333.330224755,4939724858893.192,0.04799999999999989,6175244.146900188,686.1382385444654,0.0,0.0,0.0,0.952,0.010555555555555556,0.009555555555555555,0.008444444444444444,0.019444444444444445
weight_sweep,1.0,Full,24,15,1.0,1.0,1.0,1.0,2000,0.7,1.0,0.9599999999999999,0.16566666666666666,0.2,0.13333333333333333,0.0,505.4246738459259,0.16566666666666666,1018090.4481149747,7070998417622.269,0.04899999999999988,3383831.3622631063,375.9812624736785,0.0,0.0,0.0,0.951,0.010777777777777778,0.009777777777777778,0.01,0.018444444444444444
weight_sweep,2.0,Full,7,15,1.0,1.0,1.0,1.0,2000,0.7,2.0,0.9585555555555557,0.1716666666666667,0.2,0.0,0.0,503.2101060496297,0.1716666666666667,914942.0464073287,5607720282857.084,0.051888888888888755,3835124.0147633986,426.1248905292665,0.0,0.0,0.0,0.9481111111111111,0.008555555555555556,0.011888888888888888,0.010666666666666666,0.020777777777777777
weight_sweep,2.0,Full,16,15,1.0,1.0,1.0,1.0,2000,0.7,2.0,0.9614444444444445,0.11111111111111112,0.2,0.06666666666666667,0.0,504.17444552888884,0.11111111111111112,742333.330224755,4939724858893.192,0.04799999999999989,6175244.146900188,686.1382385444654,0.0,0.0,0.0,0.952,0.010555555555555556,0.009555555555555555,0.008444444444444444,0.019444444444444445
weight_sweep,2.0,Full,24,15,1.0,1.0,1.0,1.0,2000,0.7,2.0,0.9599999999999999,0.16566666666666666,0.2,0.13333333333333333,0.0,505.4246738459259,0.16566666666666666,1018090.4481149747,7070998417622.269,0.04899999999999988,3383831.3622631063,375.9812624736785,0.0,0.0,0.0,0.951,0.010777777777777778,0.009777777777777778,0.01,0.018444444444444444
weight_sweep,5.0,Full,7,15,1.0,1.0,1.0,1.0,2000,0.7,5.0,0.9585555555555557,0.1716666666666667,0.2,0.0,0.0,503.2101060496297,0.1716666666666667,914942.0464073287,5607720282857.084,0.051888888888888755,3835124.0147633986,426.1248905292665,0.0,0.0,0.0,0.9481111111111111,0.008555555555555556,0.011888888888888888,0.010666666666666666,0.020777777777777777
weight_sweep,5.0,Full,16,15,1.0,1.0,1.0,1.0,2000,0.7,5.0,0.9614444444444445,0.11111111111111112,0.2,0.06666666666666667,0.0,504.17444552888884,0.11111111111111112,742333.330224755,4939724858893.192,0.04799999999999989,6175244.146900188,686.1382385444654,0.0,0.0,0.0,0.952,0.010555555555555556,0.009555555555555555,0.008444444444444444,0.019444444444444445
weight_sweep,5.0,Full,24,15,1.0,1.0,1.0,1.0,2000,0.7,5.0,0.9599999999999999,0.16566666666666666,0.2,0.13333333333333333,0.0,505.4246738459259,0.16566666666666666,1018090.4481149747,7070998417622.269,0.04899999999999988,3383831.3622631063,375.9812624736785,0.0,0.0,0.0,0.951,0.010777777777777778,0.009777777777777778,0.01,0.018444444444444444
weight_sweep,10.0,Full,7,15,1.0,1.0,1.0,1.0,2000,0.7,10.0,0.9585555555555557,0.1716666666666667,0.2,0.0,0.0,503.2101060496297,0.1716666666666667,914942.0464073287,5607720282857.084,0.051888888888888755,3835124.0147633986,426.1248905292665,0.0,0.0,0.0,0.9481111111111111,0.008555555555555556,0.011888888888888888,0.010666666666666666,0.020777777777777777
weight_sweep,10.0,Full,16,15,1.0,1.0,1.0,1.0,2000,0.7,10.0,0.9614444444444445,0.11111111111111112,0.2,0.06666666666666667,0.0,504.17444552888884,0.11111111111111112,742333.330224755,4939724858893.192,0.04799999999999989,6175244.146900188,686.1382385444654,0.0,0.0,0.0,0.952,0.010555555555555556,0.009555555555555555,0.008444444444444444,0.019444444444444445
weight_sweep,10.0,Full,24,15,1.0,1.0,1.0,1.0,2000,0.7,10.0,0.9599999999999999,0.16566666666666666,0.2,0.13333333333333333,0.0,505.4246738459259,0.16566666666666666,1018090.4481149747,7070998417622.269,0.04899999999999988,3383831.3622631063,375.9812624736785,0.0,0.0,0.0,0.951,0.010777777777777778,0.009777777777777778,0.01,0.018444444444444444
weight_sweep,20.0,Full,7,15,1.0,1.0,1.0,1.0,2000,0.7,20.0,0.9585555555555557,0.1716666666666667,0.2,0.0,0.0,503.2101060496297,0.1716666666666667,914942.0464073287,5607720282857.084,0.051888888888888755,3835124.0147633986,426.1248905292665,0.0,0.0,0.0,0.9481111111111111,0.008555555555555556,0.011888888888888888,0.010666666666666666,0.020777777777777777
weight_sweep,20.0,Full,16,15,1.0,1.0,1.0,1.0,2000,0.7,20.0,0.9614444444444445,0.11111111111111112,0.2,0.06666666666666667,0.0,504.17444552888884,0.11111111111111112,742333.330224755,4939724858893.192,0.04799999999999989,6175244.146900188,686.1382385444654,0.0,0.0,0.0,0.952,0.010555555555555556,0.009555555555555555,0.008444444444444444,0.019444444444444445
weight_sweep,20.0,Full,24,15,1.0,1.0,1.0,1.0,2000,0.7,20.0,0.9599999999999999,0.16566666666666666,0.2,0.13333333333333333,0.0,505.4246738459259,0.16566666666666666,1018090.4481149747,7070998417622.269,0.04899999999999988,3383831.3622631063,375.9812624736785,0.0,0.0,0.0,0.951,0.010777777777777778,0.009777777777777778,0.01,0.018444444444444444
weight_sweep,40.0,Full,7,15,1.0,1.0,1.0,1.0,2000,0.7,40.0,0.9585555555555557,0.1716666666666667,0.2,0.0,0.0,503.2101060496297,0.1716666666666667,914942.0464073287,5607720282857.084,0.051888888888888755,3835124.0147633986,426.1248905292665,0.0,0.0,0.0,0.9481111111111111,0.008555555555555556,0.011888888888888888,0.010666666666666666,0.020777777777777777
weight_sweep,40.0,Full,16,15,1.0,1.0,1.0,1.0,2000,0.7,40.0,0.9614444444444445,0.11111111111111112,0.2,0.06666666666666667,0.0,504.17444552888884,0.11111111111111112,742333.330224755,4939724858893.192,0.04799999999999989,6175244.146900188,686.1382385444654,0.0,0.0,0.0,0.952,0.010555555555555556,0.009555555555555555,0.008444444444444444,0.019444444444444445
weight_sweep,40.0,Full,24,15,1.0,1.0,1.0,1.0,2000,0.7,40.0,0.9599999999999999,0.16566666666666666,0.2,0.13333333333333333,0.0,505.4246738459259,0.16566666666666666,1018090.4481149747,7070998417622.269,0.04899999999999988,3383831.3622631063,375.9812624736785,0.0,0.0,0.0,0.951,0.010777777777777778,0.009777777777777778,0.01,0.018444444444444444
