experiment,scenario,value,policy,seed,user_num,load_scale,bw_scale,f_scale,tmax_scale,episodes,warmup_ratio,p_c5_viol,p_c6_viol,p_c6_exceed_ratio,p_c7_viol,p_c8_viol,mean_c5_excess_ratio,mean_overflow_prob,mean_m1_excess_cond,mean_m2_excess_cond,mean_offload_ratio,total_energy,avg_energy_per_slot_user,action_0_ratio,action_1_ratio,action_2_ratio,action_3_ratio,action_4_ratio,action_5_ratio,action_6_ratio,action_7_ratio
stress_scan,load_scale,0.5,Full,7,15,0.5,1.0,1.0,1.0,200,0.7,0.8333333333333334,0.0,0.0,0.0,0.0,250.9893534962963,0.0,0.0,0.0,0.2244444444444443,1075521.6120225668,1195.0240133584075,0.0,0.0,0.0,0.7755555555555556,0.05,0.043333333333333335,0.03888888888888889,0.09222222222222222
stress_scan,load_scale,0.5,Full,16,15,0.5,1.0,1.0,1.0,200,0.7,0.851111111111111,0.0,0.0,0.0,0.0,248.48149826296302,0.0,0.0,0.0,0.19777777777777772,759424.0469557623,843.8044966175137,0.0,0.0,0.0,0.8022222222222222,0.028888888888888888,0.03,0.03888888888888889,0.1
stress_scan,load_scale,0.5,Full,24,15,0.5,1.0,1.0,1.0,200,0.7,0.8355555555555555,0.0,0.0,0.0,0.0,249.2734067111111,0.0,0.0,0.0,0.23555555555555555,2119275.3344723387,2354.750371635932,0.0,0.0,0.0,0.7644444444444445,0.06,0.034444444444444444,0.034444444444444444,0.10666666666666667
stress_scan,load_scale,0.5,IQL,7,15,0.5,1.0,1.0,1.0,200,0.7,0.9444444444444443,0.0,0.0,0.0,0.0,249.62453314814817,0.0,0.0,0.0,0.08555555555555559,613755.5342299857,681.950593588873,0.0,0.0,0.0,0.9144444444444444,0.015555555555555555,0.0077777777777777776,0.016666666666666666,0.04555555555555556
stress_scan,load_scale,0.5,IQL,16,15,0.5,1.0,1.0,1.0,200,0.7,0.9366666666666668,0.0,0.0,0.0,0.0,256.06144515555553,0.0,0.0,0.0,0.09111111111111114,519083.86405846034,576.7598489538449,0.0,0.0,0.0,0.9088888888888889,0.025555555555555557,0.005555555555555556,0.008888888888888889,0.051111111111111114
stress_scan,load_scale,0.5,IQL,24,15,0.5,1.0,1.0,1.0,200,0.7,0.9433333333333331,0.0,0.0,0.0,0.0,260.19448566296296,0.0,0.0,0.0,0.08222222222222222,713638.9089183676,792.9321210204084,0.0,0.0,0.0,0.9177777777777778,0.02,0.011111111111111112,0.015555555555555555,0.035555555555555556
stress_scan,load_scale,0.5,No-EVT,7,15,0.5,1.0,1.0,1.0,200,0.7,0.8333333333333334,0.0,0.0,0.0,0.0,250.9893534962963,0.0,0.0,0.0,0.2244444444444443,1075521.6120225668,1195.0240133584075,0.0,0.0,0.0,0.7755555555555556,0.05,0.043333333333333335,0.03888888888888889,0.09222222222222222
stress_scan,load_scale,0.5,No-EVT,16,15,0.5,1.0,1.0,1.0,200,0.7,0.851111111111111,0.0,0.0,0.0,0.0,248.48149826296302,0.0,0.0,0.0,0.19777777777777772,759424.0469557623,843.8044966175137,0.0,0.0,0.0,0.8022222222222222,0.028888888888888888,0.03,0.03888888888888889,0.1
stress_scan,load_scale,0.5,No-EVT,24,15,0.5,1.0,1.0,1.0,200,0.7,0.8355555555555555,0.0,0.0,0.0,0.0,249.2734067111111,0.0,0.0,0.0,0.23555555555555555,2119275.3344723387,2354.750371635932,0.0,0.0,0.0,0.7644444444444445,0.06,0.034444444444444444,0.034444444444444444,0.10666666666666667
stress_scan,load_scale,0.5,C6-Only,7,15,0.5,1.0,1.0,1.0,200,0.7,0.8333333333333334,0.0,0.0,0.0,0.0,250.9893534962963,0.0,0.0,0.0,0.2244444444444443,1075521.6120225668,1195.0240133584075,0.0,0.0,0.0,0.7755555555555556,0.05,0.043333333333333335,0.03888888888888889,0.09222222222222222
stress_scan,load_scale,0.5,C6-Only,16,15,0.5,1.0,1.0,1.0,200,0.7,0.851111111111111,0.0,0.0,0.0,0.0,248.48149826296302,0.0,0.0,0.0,0.19777777777777772,759424.0469557623,843.8044966175137,0.0,0.0,0.0,0.8022222222222222,0.028888888888888888,0.03,0.03888888888888889,0.1
