experiment,scenario,value,policy,seed,user_num,load_scale,bw_scale,f_scale,tmax_scale,episodes,warmup_ratio,p_c5_viol,p_c6_viol,p_c7_viol,p_c8_viol,mean_c5_excess_ratio,mean_overflow_prob,mean_m1_excess_cond,mean_m2_excess_cond,mean_offload_ratio,total_energy,avg_energy_per_slot_user,action_0_ratio,action_1_ratio,action_2_ratio,action_3_ratio,action_4_ratio,action_5_ratio,action_6_ratio,action_7_ratio
stress_scan,load_scale,0.5,Full,1,15,0.5,1.0,1.0,1.0,40,0.5,1.0,0.0,0.0,0.0,124.21578950670373,0.0,0.0,0.0,0.5333333333333333,9.264166849511994,0.03088055616503998,0.0,0.0,0.0,0.4666666666666667,0.0,0.0,0.0,0.5333333333333333
stress_scan,load_scale,0.5,Full,2,15,0.5,1.0,1.0,1.0,40,0.5,1.0,0.0,0.0,0.0,118.2689473931419,0.0,0.0,0.0,0.5166666666666667,7.075738995905606,0.023585796653018687,0.0,0.0,0.0,0.48333333333333334,0.0,0.0,0.0,0.5166666666666667
stress_scan,load_scale,0.5,IQL,1,15,0.5,1.0,1.0,1.0,40,0.5,1.0,0.0,0.0,0.0,135.06748331527785,0.0,0.0,0.0,0.5299999999999999,7.87928839939862,0.026264294664662065,0.0,0.0,0.0,0.47,0.0,0.0,0.0,0.53
stress_scan,load_scale,0.5,IQL,2,15,0.5,1.0,1.0,1.0,40,0.5,1.0,0.0,0.0,0.0,124.73635876664122,0.0,0.0,0.0,0.5266666666666666,8.723153581680927,0.02907717860560309,0.0,0.0,0.0,0.47333333333333333,0.0,0.0,0.0,0.5266666666666666
stress_scan,load_scale,0.5,No-EVT,1,15,0.5,1.0,1.0,1.0,40,0.5,1.0,0.0,0.0,0.0,124.21578950670373,0.0,0.0,0.0,0.5333333333333333,9.264166849511994,0.03088055616503998,0.0,0.0,0.0,0.4666666666666667,0.0,0.0,0.0,0.5333333333333333
stress_scan,load_scale,0.5,No-EVT,2,15,0.5,1.0,1.0,1.0,40,0.5,1.0,0.0,0.0,0.0,118.2689473931419,0.0,0.0,0.0,0.5166666666666667,7.075738995905606,0.023585796653018687,0.0,0.0,0.0,0.48333333333333334,0.0,0.0,0.0,0.5166666666666667
stress_scan,load_scale,0.5,Lyapunov-Greedy,1,15,0.5,1.0,1.0,1.0,40,0.5,1.0,0.0,0.0,0.0,259.58270651111104,0.0,0.0,0.0,0.0,0.08099999999999997,0.0002699999999999999,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
stress_scan,load_scale,0.5,Lyapunov-Greedy,2,15,0.5,1.0,1.0,1.0,40,0.5,1.0,0.0,0.0,0.0,259.9205366111111,0.0,0.0,0.0,0.0,0.08099999999999997,0.0002699999999999999,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
stress_scan,load_scale,0.5,Non-MEC,1,15,0.5,1.0,1.0,1.0,40,0.5,1.0,0.0,0.0,0.0,259.58270651111104,0.0,0.0,0.0,0.0,0.08099999999999997,0.0002699999999999999,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
stress_scan,load_scale,0.5,Non-MEC,2,15,0.5,1.0,1.0,1.0,40,0.5,1.0,0.0,0.0,0.0,259.9205366111111,0.0,0.0,0.0,0.0,0.08099999999999997,0.0002699999999999999,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
stress_scan,load_scale,0.5,Stand-alone MEC,1,15,0.5,1.0,1.0,1.0,40,0.5,0.9199999999999999,0.0,0.0,0.0,55.88204889116484,0.0,0.0,0.0,1.0,3.7220908940665858,0.01240696964688862,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.92
stress_scan,load_scale,0.5,Stand-alone MEC,2,15,0.5,1.0,1.0,1.0,40,0.5,0.9199999999999999,0.0,0.0,0.0,55.8709528401296,0.0,0.0,0.0,1.0,3.7195346655963135,0.012398448885321045,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.92
stress_scan,load_scale,0.5,Random,1,15,0.5,1.0,1.0,1.0,40,0.5,0.9199999999999999,0.0,0.0,0.0,364.95090646966156,0.0,0.0,0.0,0.51,0.8742388497552985,0.0029141294991843285,0.12333333333333334,0.10333333333333333,0.13333333333333333,0.13,0.13333333333333333,0.10333333333333333,0.16333333333333333,0.11
stress_scan,load_scale,0.5,Random,2,15,0.5,1.0,1.0,1.0,40,0.5,0.88,0.0,0.0,0.0,381.10436982399676,0.0,0.0,0.0,0.4966666666666667,0.8460193849663719,0.0028200646165545728,0.11,0.12,0.14,0.13333333333333333,0.10666666666666667,0.10666666666666667,0.15,0.13333333333333333
