experiment,weight,policy,seed,user_num,load_scale,bw_scale,f_scale,tmax_scale,episodes,warmup_ratio,lyap_constraint_weight,p_c5_viol,p_c6_viol,p_c7_viol,p_c8_viol,mean_c5_excess_ratio,mean_overflow_prob,mean_m1_excess_cond,mean_m2_excess_cond,mean_offload_ratio,total_energy,avg_energy_per_slot_user,action_0_ratio,action_1_ratio,action_2_ratio,action_3_ratio,action_4_ratio,action_5_ratio,action_6_ratio,action_7_ratio
weight_sweep,1.0,Full,1,15,1.0,1.0,1.0,1.0,40,0.5,1.0,1.0,0.0,0.0,0.0,276.327782271505,0.0,0.0,0.0,0.5166666666666667,16.18913258558122,0.053963775285270736,0.0,0.0,0.0,0.48333333333333334,0.0,0.0,0.0,0.5166666666666667
weight_sweep,1.0,Full,2,15,1.0,1.0,1.0,1.0,40,0.5,1.0,1.0,0.0,0.0,0.0,237.61394518162845,0.0,0.0,0.0,0.5166666666666667,14.11232799181121,0.04704109330603737,0.0,0.0,0.0,0.48333333333333334,0.0,0.0,0.0,0.5166666666666667
weight_sweep,2.0,Full,1,15,1.0,1.0,1.0,1.0,40,0.5,2.0,1.0,0.0,0.0,0.0,276.327782271505,0.0,0.0,0.0,0.5166666666666667,16.18913258558122,0.053963775285270736,0.0,0.0,0.0,0.48333333333333334,0.0,0.0,0.0,0.5166666666666667
weight_sweep,2.0,Full,2,15,1.0,1.0,1.0,1.0,40,0.5,2.0,1.0,0.0,0.0,0.0,237.61394518162845,0.0,0.0,0.0,0.5166666666666667,14.11232799181121,0.04704109330603737,0.0,0.0,0.0,0.48333333333333334,0.0,0.0,0.0,0.5166666666666667
weight_sweep,5.0,Full,1,15,1.0,1.0,1.0,1.0,40,0.5,5.0,1.0,0.0,0.0,0.0,276.327782271505,0.0,0.0,0.0,0.5166666666666667,16.18913258558122,0.053963775285270736,0.0,0.0,0.0,0.48333333333333334,0.0,0.0,0.0,0.5166666666666667
weight_sweep,5.0,Full,2,15,1.0,1.0,1.0,1.0,40,0.5,5.0,1.0,0.0,0.0,0.0,237.61394518162845,0.0,0.0,0.0,0.5166666666666667,14.11232799181121,0.04704109330603737,0.0,0.0,0.0,0.48333333333333334,0.0,0.0,0.0,0.5166666666666667
weight_sweep,10.0,Full,1,15,1.0,1.0,1.0,1.0,40,0.5,10.0,1.0,0.0,0.0,0.0,276.327782271505,0.0,0.0,0.0,0.5166666666666667,16.18913258558122,0.053963775285270736,0.0,0.0,0.0,0.48333333333333334,0.0,0.0,0.0,0.5166666666666667
weight_sweep,10.0,Full,2,15,1.0,1.0,1.0,1.0,40,0.5,10.0,1.0,0.0,0.0,0.0,237.61394518162845,0.0,0.0,0.0,0.5166666666666667,14.11232799181121,0.04704109330603737,0.0,0.0,0.0,0.48333333333333334,0.0,0.0,0.0,0.5166666666666667
weight_sweep,20.0,Full,1,15,1.0,1.0,1.0,1.0,40,0.5,20.0,1.0,0.0,0.0,0.0,276.327782271505,0.0,0.0,0.0,0.5166666666666667,16.18913258558122,0.053963775285270736,0.0,0.0,0.0,0.48333333333333334,0.0,0.0,0.0,0.5166666666666667
weight_sweep,20.0,Full,2,15,1.0,1.0,1.0,1.0,40,0.5,20.0,1.0,0.0,0.0,0.0,237.61394518162845,0.0,0.0,0.0,0.5166666666666667,14.11232799181121,0.04704109330603737,0.0,0.0,0.0,0.48333333333333334,0.0,0.0,0.0,0.5166666666666667
weight_sweep,40.0,Full,1,15,1.0,1.0,1.0,1.0,40,0.5,40.0,1.0,0.0,0.0,0.0,276.327782271505,0.0,0.0,0.0,0.5166666666666667,16.18913258558122,0.053963775285270736,0.0,0.0,0.0,0.48333333333333334,0.0,0.0,0.0,0.5166666666666667
weight_sweep,40.0,Full,2,15,1.0,1.0,1.0,1.0,40,0.5,40.0,1.0,0.0,0.0,0.0,237.61394518162845,0.0,0.0,0.0,0.5166666666666667,14.11232799181121,0.04704109330603737,0.0,0.0,0.0,0.48333333333333334,0.0,0.0,0.0,0.5166666666666667
