experiment,scenario,value,policy,seed,user_num,load_scale,bw_scale,f_scale,tmax_scale,episodes,warmup_ratio,p_c5_viol,p_c6_viol,p_c6_exceed_ratio,p_c7_viol,p_c8_viol,mean_c5_excess_ratio,mean_overflow_prob,mean_m1_excess_cond,mean_m2_excess_cond,mean_offload_ratio,total_energy,avg_energy_per_slot_user,action_0_ratio,action_1_ratio,action_2_ratio,action_3_ratio,action_4_ratio,action_5_ratio,action_6_ratio,action_7_ratio
stress_scan,load_scale,0.5,Full,7,15,0.5,1.0,1.0,1.0,50,0.7,0.6488888888888888,0.0,0.0,0.0,0.0,249.48472044444446,0.0,0.0,0.0,0.4799999999999999,513150.2546324177,2280.6677983663008,0.0,0.0,0.0,0.52,0.09777777777777778,0.07111111111111111,0.07111111111111111,0.24
stress_scan,load_scale,0.5,IQL,7,15,0.5,1.0,1.0,1.0,50,0.7,0.6755555555555556,0.0,0.0,0.0,0.0,218.53491216296294,0.0,0.0,0.0,0.4311111111111111,497409.93102022767,2210.7108045343452,0.0,0.0,0.0,0.5688888888888889,0.07111111111111111,0.08,0.08,0.2
stress_scan,load_scale,0.5,No-EVT,7,15,0.5,1.0,1.0,1.0,50,0.7,0.6488888888888888,0.0,0.0,0.0,0.0,249.48472044444446,0.0,0.0,0.0,0.4799999999999999,513150.2546324177,2280.6677983663008,0.0,0.0,0.0,0.52,0.09777777777777778,0.07111111111111111,0.07111111111111111,0.24
stress_scan,load_scale,0.5,C6-Only,7,15,0.5,1.0,1.0,1.0,50,0.7,0.6488888888888888,0.0,0.0,0.0,0.0,249.48472044444446,0.0,0.0,0.0,0.4799999999999999,513150.2546324177,2280.6677983663008,0.0,0.0,0.0,0.52,0.09777777777777778,0.07111111111111111,0.07111111111111111,0.24
stress_scan,load_scale,0.5,Lyapunov-Greedy,7,15,0.5,1.0,1.0,1.0,50,0.7,1.0,0.0,0.0,0.0,0.0,258.08818217777787,0.0,0.0,0.0,0.0,0.06074999999999998,0.0002699999999999999,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
stress_scan,load_scale,0.5,Non-MEC,7,15,0.5,1.0,1.0,1.0,50,0.7,1.0,0.0,0.0,0.0,0.0,258.08818217777787,0.0,0.0,0.0,0.0,0.06074999999999998,0.0002699999999999999,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
stress_scan,load_scale,0.5,Stand-alone MEC,7,15,0.5,1.0,1.0,1.0,50,0.7,0.46666666666666673,0.0,0.0,0.0,0.0,466.6666666666668,0.0,0.0,0.0,1.0,159147.24686414353,707.3210971739712,0.0,0.0,0.0,0.0,0.0,0.0,0.5333333333333333,0.4666666666666667
stress_scan,load_scale,0.5,Random,7,15,0.5,1.0,1.0,1.0,50,0.7,0.7422222222222222,0.0,0.0,0.0,0.0,647.9010487629629,0.0,0.0,0.0,0.5155555555555555,316278.35118068225,1405.6815608030322,0.13777777777777778,0.11555555555555555,0.14666666666666667,0.08444444444444445,0.15555555555555556,0.10666666666666667,0.1288888888888889,0.12444444444444444
stress_scan,load_scale,1.0,Full,7,15,1.0,1.0,1.0,1.0,50,0.7,0.6177777777777778,0.0,0.0,0.0,0.0,334.6037075555556,0.0,0.0,0.0,0.4844444444444444,1153698.696016141,5127.549760071738,0.0,0.0,0.0,0.5155555555555555,0.10222222222222223,0.07555555555555556,0.08444444444444445,0.2222222222222222
stress_scan,load_scale,1.0,IQL,7,15,1.0,1.0,1.0,1.0,50,0.7,0.6711111111111111,0.0,0.0,0.0,0.0,321.67893543703707,0.0,0.0,0.0,0.43555555555555553,1385967.057914956,6159.853590733138,0.0,0.0,0.0,0.5644444444444444,0.06666666666666667,0.08,0.08888888888888889,0.2
