experiment,weight,policy,seed,user_num,load_scale,bw_scale,f_scale,tmax_scale,episodes,warmup_ratio,lyap_constraint_weight,p_c5_viol,p_c6_viol,p_c6_exceed_ratio,p_c7_viol,p_c8_viol,mean_c5_excess_ratio,mean_overflow_prob,mean_m1_excess_cond,mean_m2_excess_cond,mean_offload_ratio,total_energy,avg_energy_per_slot_user,action_0_ratio,action_1_ratio,action_2_ratio,action_3_ratio,action_4_ratio,action_5_ratio,action_6_ratio,action_7_ratio
weight_sweep,1.0,Full,1,15,1.0,1.0,1.0,1.0,1000,0.7,1.0,0.9591111111111112,0.0,0.0,0.0,0.0,502.82474835851855,0.0,0.0,0.0,0.051333333333333266,2943328.168258977,654.0729262797727,0.0,0.0,0.0,0.9486666666666667,0.010666666666666666,0.011111111111111112,0.010888888888888889,0.018666666666666668
weight_sweep,1.0,Full,2,15,1.0,1.0,1.0,1.0,1000,0.7,1.0,0.9628888888888889,0.0,0.0,0.0,0.0,505.74953062370355,0.0,0.0,0.0,0.04733333333333327,1448630.641465243,321.91792032560954,0.0,0.0,0.0,0.9526666666666667,0.010666666666666666,0.009333333333333334,0.006888888888888889,0.020444444444444446
weight_sweep,1.0,Full,3,15,1.0,1.0,1.0,1.0,1000,0.7,1.0,0.9606666666666666,0.0,0.0,0.0,0.0,503.07625115407416,0.0,0.0,0.0,0.04999999999999994,2540250.598801995,564.50013306711,0.0,0.0,0.0,0.95,0.008,0.011777777777777778,0.010444444444444444,0.019777777777777776
weight_sweep,2.0,Full,1,15,1.0,1.0,1.0,1.0,1000,0.7,2.0,0.9591111111111112,0.0,0.0,0.0,0.0,502.82474835851855,0.0,0.0,0.0,0.051333333333333266,2943328.168258977,654.0729262797727,0.0,0.0,0.0,0.9486666666666667,0.010666666666666666,0.011111111111111112,0.010888888888888889,0.018666666666666668
weight_sweep,2.0,Full,2,15,1.0,1.0,1.0,1.0,1000,0.7,2.0,0.9628888888888889,0.0,0.0,0.0,0.0,505.74953062370355,0.0,0.0,0.0,0.04733333333333327,1448630.641465243,321.91792032560954,0.0,0.0,0.0,0.9526666666666667,0.010666666666666666,0.009333333333333334,0.006888888888888889,0.020444444444444446
weight_sweep,2.0,Full,3,15,1.0,1.0,1.0,1.0,1000,0.7,2.0,0.9606666666666666,0.0,0.0,0.0,0.0,503.07625115407416,0.0,0.0,0.0,0.04999999999999994,2540250.598801995,564.50013306711,0.0,0.0,0.0,0.95,0.008,0.011777777777777778,0.010444444444444444,0.019777777777777776
weight_sweep,5.0,Full,1,15,1.0,1.0,1.0,1.0,1000,0.7,5.0,0.9591111111111112,0.0,0.0,0.0,0.0,502.82474835851855,0.0,0.0,0.0,0.051333333333333266,2943328.168258977,654.0729262797727,0.0,0.0,0.0,0.9486666666666667,0.010666666666666666,0.011111111111111112,0.010888888888888889,0.018666666666666668
weight_sweep,5.0,Full,2,15,1.0,1.0,1.0,1.0,1000,0.7,5.0,0.9628888888888889,0.0,0.0,0.0,0.0,505.74953062370355,0.0,0.0,0.0,0.04733333333333327,1448630.641465243,321.91792032560954,0.0,0.0,0.0,0.9526666666666667,0.010666666666666666,0.009333333333333334,0.006888888888888889,0.020444444444444446
weight_sweep,5.0,Full,3,15,1.0,1.0,1.0,1.0,1000,0.7,5.0,0.9606666666666666,0.0,0.0,0.0,0.0,503.07625115407416,0.0,0.0,0.0,0.04999999999999994,2540250.598801995,564.50013306711,0.0,0.0,0.0,0.95,0.008,0.011777777777777778,0.010444444444444444,0.019777777777777776
weight_sweep,10.0,Full,1,15,1.0,1.0,1.0,1.0,1000,0.7,10.0,0.9591111111111112,0.0,0.0,0.0,0.0,502.82474835851855,0.0,0.0,0.0,0.051333333333333266,2943328.168258977,654.0729262797727,0.0,0.0,0.0,0.9486666666666667,0.010666666666666666,0.011111111111111112,0.010888888888888889,0.018666666666666668
weight_sweep,10.0,Full,2,15,1.0,1.0,1.0,1.0,1000,0.7,10.0,0.9628888888888889,0.0,0.0,0.0,0.0,505.74953062370355,0.0,0.0,0.0,0.04733333333333327,1448630.641465243,321.91792032560954,0.0,0.0,0.0,0.9526666666666667,0.010666666666666666,0.009333333333333334,0.006888888888888889,0.020444444444444446
weight_sweep,10.0,Full,3,15,1.0,1.0,1.0,1.0,1000,0.7,10.0,0.9606666666666666,0.0,0.0,0.0,0.0,503.07625115407416,0.0,0.0,0.0,0.04999999999999994,2540250.598801995,564.50013306711,0.0,0.0,0.0,0.95,0.008,0.011777777777777778,0.010444444444444444,0.019777777777777776
weight_sweep,20.0,Full,1,15,1.0,1.0,1.0,1.0,1000,0.7,20.0,0.9591111111111112,0.0,0.0,0.0,0.0,502.82474835851855,0.0,0.0,0.0,0.051333333333333266,2943328.168258977,654.0729262797727,0.0,0.0,0.0,0.9486666666666667,0.010666666666666666,0.011111111111111112,0.010888888888888889,0.018666666666666668
